screen_name,tweet,favorite_count,retweet_count,reply_to,n_user_mentions,n_hashtags,n_urls,user_mentions,hashtags
cosotec,"@canalN_ El Chat de la cloaca del @congresoperu ; impresentables los fujicorruptos; se les paga un sueldo para obstaculizar todo;@MartinVizcarraC debe convocar a una constituyente y llamar a nuevas elecciones generales.",0,0,canalN_,2,0,1,"canalN_;congresoperu",""
LydiaSarm,"@CarlosAmayaR @kammus52 @GobBoyaca Alos Boyaceses lo unico que les falta es que bañen todos los dia.",0,0,CarlosAmayaR,3,0,0,"CarlosAmayaR;kammus52;GobBoyaca",""
micho_sg,"#instagramdown ya regresará; ya regresará; ya regresará ... por mi culpa; por mi culpa; por mi gran culpa. https://t.co/lYn8mauOCL",0,0,,0,1,0,"","instagramdown"
julio_francog,"No sé qué significa “Luna ascendente” y me parece muy bien",0,0,,0,0,0,"",""
rpalaciosdillon,"@GaloRol2 Enhora buena por Galo; los buenos deben seguir aqui !!",0,0,GaloRol2,1,0,0,"GaloRol2",""
DanielDann12,"#RedesSociales #whatsapp #instagram #facebook https://t.co/jVvZZDaI22",0,0,,0,4,0,"","RedesSociales;whatsapp;instagram;facebook"
franklinsheto,"Lo peor que le pueda pasar a un borrego es llamarse Lenin 🤣  #SeTeniaQueDecirYseDijo",0,0,,0,1,0,"","SeTeniaQueDecirYseDijo"
giovannialv,"@vv_javier Exactamente",0,0,vv_javier,1,0,0,"vv_javier",""
CatMailsa,"@gonzalojhm @gabymenta Jajajajajaja",0,0,gonzalojhm,2,0,0,"gonzalojhm;gabymenta",""
DanielDann12,"@Giss_Samy Facebook e instagram también; es a nivel mundial",0,0,Giss_Samy,1,0,0,"Giss_Samy",""
agmoncayo,"@ChristianSuzuki La plena; el está soltando adrenalina para estar listo por si le cae una cara en el puño",0,0,ChristianSuzuki,1,0,0,"ChristianSuzuki",""
July_m1,"@gimbell_vera Por favor",0,0,gimbell_vera,1,0,0,"gimbell_vera",""
fernandorozcom,"@edu_mfdz Muy deacuerdo",0,0,edu_mfdz,1,0,0,"edu_mfdz",""
Marcelo76798535,"@cececece23 Esta caida las redes; no se puede ver foto ni enviar audio",0,0,cececece23,1,0,0,"cececece23",""
DanielDann12,"Ecuador que pasa !!",0,0,,0,0,0,"",""
Ninoskiita_,"@SuperPichon_ 🤣",0,0,SuperPichon_,1,0,0,"SuperPichon_",""
sebastianbander,"@lebruje8 @RenyRomero18 @ElianaCabrera9 @Amparo_Medina @lilyariasok @Canidza @JulietaSagnay @KrystelEstrella @Litardo_Loor @ConParticipa @rosannaoficial @QuitoProvida En ningún momento dije q los hombres son más inteligentea q las mujeres. 😁. Yo solo hice referencia q tenemos más premios nobeles q ustedes en relación al tema de la inteligencia q menciono la otra chica. Hombres y mujeres NO SOMOS IGUALES. Somos diferentes y nos complementamos",0,0,lebruje8,8,0,1,"lebruje8;RenyRomero18;ElianaCabrera9;Amparo_Medina;lilyariasok;Canidza;JulietaSagnay;KrystelEstrella",""
juanmirgar,"https://t.co/8I05LkcPwJ",0,0,,0,0,0,"",""
DanielDann12,"@Giss_Samy Por las redes",0,0,Giss_Samy,1,0,0,"Giss_Samy",""
julio_francog,"Jajajajajajaja",0,0,,0,0,0,"",""
giovannialv,"@Patrick5060 Matenlos de hambre; está bien",0,0,Patrick5060,1,0,0,"Patrick5060",""
natyco,"¿Para qué cosa práctica del funcionamiento o estructura de una ciudad sirven los certámenes de belleza?  Pregunta seria.",0,0,,0,0,0,"",""
chrisfofi,"Alteran los planes 🤪",0,0,,0,0,0,"",""
Srrey9,"Paciencia; es la virtud que pocos han sabido desarrollar y muchos necesitan adoptar en sus vidas ⏳ https://t.co/eolN6cGVkL",0,0,,0,0,0,"",""
serviplatinium,"🚙🚘🚙🚘🚗🚙🚘🚗 Alquiler de vehículos Automáticos y mecánicos  https://t.co/WGgY5jbm2H visita nuestra FANPAGE  https://t.co/oKCzGTz3W5 Reservas directas  TF:  0994795665  Recorre nuestro hermoso… https://t.co/l3VYIiMetx",0,0,,0,0,2,"",""
ovqgye,"@DiegoArcos14 Pobre modelo",0,0,DiegoArcos14,1,0,0,"DiegoArcos14",""
mimayris,"Twitter nunca abandona",0,0,,0,0,0,"",""
descubretusalud,"🏄‍♀️🏖🤒Unas #vacaciones pueden arruinarse por culpa de una enfermedad estomacal https://t.co/DmESaliOqu https://t.co/v1N4OWf15f",0,0,,0,1,1,"","vacaciones"
PabloElmoni,"@consuemary Quién protege al derecho a la información de la ciudadanía!? Pues nadie; están muy distraídos entre curas y sus acólitos. Los días pasan y se nos están haciendo los locos.",0,0,consuemary,1,0,1,"consuemary",""
AdriOsorioLuna,"😱 Por esto y más; para mí nunca Argentina. Aprendan a perder  Fin.",0,0,,0,0,0,"",""
giovannialv,"@AlbertoAcostaE @Lenin @MashiRafael Y que sugiere? Que se los deje a un millar de personas que hacen una minería ilegal",0,0,AlbertoAcostaE,3,0,0,"AlbertoAcostaE;Lenin;MashiRafael",""
vmjr0405,"💙 https://t.co/PmSIbVmUtR",0,0,,0,0,0,"",""
julio_francog,"Messi en su escala; su mejor versión; la peleó todaJAJAJAJAJAAJAJAJAJSJSJSJSJSJSJSKSK 😂🤦🏼‍♂️ https://t.co/Y6fJiS9gv0",0,0,,0,0,0,"",""
CatMailsa,"@minipunk No hace mucho me di cuenta que WhatsApp tambien; aún sigue Twitter invicto ✌️; claro xq que no es de Zuckerberg",0,0,minipunk,1,0,0,"minipunk",""
estebanpuente28,"🤓 https://t.co/enoA5kfbvw",0,0,,0,0,0,"",""
Jsantos41905033,"Qu rico",0,0,,0,0,0,"",""
shotauke_y_seme,"@imnotvirginokey En serio el arte de ese manga es divino; ojalá los arcos tengan más desarrollo y detalle como el de Osaka",0,0,imnotvirginokey,1,0,0,"imnotvirginokey",""
josue8junio,"@diego_lazoh @ocram @juanalvarezm @rmapalacios Asuuu quien lo dice? El defensor de SL?  #terrorismonuncamás",0,0,diego_lazoh,4,1,0,"diego_lazoh;ocram;juanalvarezm;rmapalacios","terrorismonuncamás"
teresa420_,"Estas no son horas de llamar; a menos que me lo quiera mamar",0,0,,0,0,0,"",""
julio_francog,"Jajajajajajajajajajajsjskskdl",0,0,,0,0,0,"",""
LydiaSarm,"@ICBFColombia @kammus52 @infopresidencia @ConsejeriaNinez Los golpes y los gritos son una falta d respeto y no se puede enseñar a respetar irrespetando. El que golpea; el que grita  no busca educar sino someter. Los goples no educan sino que someten; humillan; degradan. El afecto y el respeto es un motor que todo lo hace funcionar bien.",0,0,ICBFColombia,4,0,1,"ICBFColombia;kammus52;infopresidencia;ConsejeriaNinez",""
shotauke_y_seme,"@YukinoriAkaihi Yo solo quería un buen juego de la saga principal ;-; no otro jueguito de celular",0,0,YukinoriAkaihi,1,0,0,"YukinoriAkaihi",""
julio_francog,"- te amo -",0,0,,0,0,0,"",""
robjs33z,"Quinteros fue que habló de Zambrano cuando le pitaba a Emelec de visita? @SanchezJoselo @joacosaavedraq",0,0,,2,0,0,"SanchezJoselo;joacosaavedraq",""
TatianaRodrigz,"@andresmmc",0,0,andresmmc,1,0,0,"andresmmc",""
reiber_1980,"@PaolaKoppel 1 Corintios 6:9; “¿No sabéis que los injustos no heredarán el reino de Dios? No erréis; ni los fornicarios; ni los idólatras; ni los adúlteros; ni los afeminados; ni los que se echan con varones”.   Para Dios es una abominación",0,0,PaolaKoppel,1,0,1,"PaolaKoppel",""
reservas_MSC,"Porque nos sentimos orgullosos de ser peruanos 🇵🇪 🤗; feliz mes patrio; te desea #MirafloresSuitesCentro  🎀 tu mejor opción en servicio de hospedaje ***.  📞 Reservas  966-410-086 o 991-179-075 ✍️ escríbenos a: ventas@mirafloressuitescentro.com https://t.co/niarDVC3s0",0,0,,0,1,1,"","MirafloresSuitesCentro"
shotauke_y_seme,"@elpaco32 @YukinoriAkaihi Ahora será legal si red ya es adulto no?",0,0,elpaco32,2,0,0,"elpaco32;YukinoriAkaihi",""
teresa420_,"The way Twitter translates tweet is not accurate at all",0,0,,0,0,0,"",""
ComunaMarcopera,"Ayudanos a ayudar!! Únete a nuestra campaña contra el friaje 2019. Estaremos recibiendo donaciones el sabado 20 de Julio en el Real Plaza Centro Civico; a las 6:00 p.m. Te esperamos!!! #AyudanosaAyudar #CampañaContraElFriaje2019 #ComunidadMarcopera #SiemprePresente https://t.co/g9I0PW8Pds",0,0,,0,0,1,"",""
PabloElmoni,"@EvaHoustonMoli Hoy tenemos una cita con la historia! Quienes? Ël cumplio y quienes no han hecho la cita? La historia nos dirá RC nido de revolucionarios Cobardes.",0,0,EvaHoustonMoli,1,0,1,"EvaHoustonMoli",""
MaylinVaca,"@UnTatuador Ya decía yo que ya era hora de un temblorcito.",0,0,UnTatuador,1,0,0,"UnTatuador",""
BetoYr,"@PENI_PLANE @vanebuchelli Hecho! Quería que me lo confirme un piloto; el sábado empieza la venta de las entradas wuuuuuu",0,0,PENI_PLANE,2,0,0,"PENI_PLANE;vanebuchelli",""
Colorito82,"@samuel_feijoo Desde el 2000 jajaja",0,0,samuel_feijoo,1,0,0,"samuel_feijoo",""
SAWTVHD,"@eluniversocom @jcarlostuarez @CPCCS @AsambleaEcuador @sugeyhajjar dicen el pueblo te apoya; pero veo banderas de cuba; no sabia que eramos cubanos nosotros.  este tipo es lo mas asqueroso que ha habido; permitió que lo apoye y negó ser correísta; para llegar al poder; ahora mostró su verdadera cara; lo que hacen para vivir del pueblo",0,0,eluniversocom,5,0,1,"eluniversocom;jcarlostuarez;CPCCS;AsambleaEcuador;sugeyhajjar",""
jimmyfalcones7,"La prensa Argentina es así;ellos no ven las fallas de sus jugaderos y critican el Arbitraje.",0,0,,0,0,0,"",""
fernandorozcom,"@edu_mfdz @silvitabuendia muy vergonsozo para el pais al leer el twit de @RoxanaQueirolo algunas revistas y programas de tv la ubican como referente de la mujer empresaria exitosa ecuatoriana !!!",0,0,edu_mfdz,3,0,1,"edu_mfdz;silvitabuendia;RoxanaQueirolo",""
julio_francog,"Yo en Twitter soy el que está bailando https://t.co/eN0mGc6UXV",0,0,,0,0,0,"",""
CIgualdadGenero,"#CNIGinforma | Concurso: CONVOCATORIA A PRESENTAR PROPUESTAS PARA DESARROLLAR UNA ESCUELA DE LIDERAZGO PARA MUJERES CON DISCAPACIDAD EN EL ECUADOR @UNFPAecuador   Más información y Términos de Referencia ➡️ https://t.co/UnE0D0H89K https://t.co/7vhwlHm5Ve",0,0,,0,1,1,"","CNIGinforma"
giovannialv,"@DiegoArcos14 El Modelo",0,0,DiegoArcos14,1,0,0,"DiegoArcos14",""
ComunaMarcopera,"#CampañaContraElFriaje2019  Te esperamos con tu donación!!! 🙌🏿🙌🏿🙌🏿 https://t.co/RDl5YXZCuF",0,0,,0,1,0,"","CampañaContraElFriaje2019"
radio_sucre700,"Catalina Andramuño reemplazará a @MVEspinosaS en el Ministerio de @Salud_Ec. Este miércoles 3 de Julio asumirá el cargo. Andramuño se ha desempeñado como directora de uno de los distritos de #Guayaquil #NoticiaEnSucre https://t.co/AvSnmHhAqR",0,0,,2,0,1,"MVEspinosaS;Salud_Ec",""
EmiliaNaviaC,"She feels me.",0,0,,0,0,0,"",""
jimmyfalcones7,"@JavierDavilaJr @DiarioOle Es facil javier;no darle piola a los perdedores.",0,0,JavierDavilaJr,2,0,0,"JavierDavilaJr;DiarioOle",""
sebastianbander,"@RenyRomero18 @lebruje8 @ElianaCabrera9 @Amparo_Medina @lilyariasok @Canidza @JulietaSagnay @KrystelEstrella @Litardo_Loor @ConParticipa @rosannaoficial @QuitoProvida Tampoco es así. Ni FISICA porq por razones de naturaleza los hombres en PROMEDIO la mayoría posee más capacidad física q las mujeres y MENTAL mucho menos porq hombres y mujeres tampoco piensan igual. Ya deja de querér parecerte a los hombres no somos igueles entiende mujer",0,0,RenyRomero18,8,0,1,"RenyRomero18;lebruje8;ElianaCabrera9;Amparo_Medina;lilyariasok;Canidza;JulietaSagnay;KrystelEstrella",""
TrendsEcuador,"#notishuk es ahora una tendencia en Ecuador  https://t.co/oweEa1W8CB https://t.co/IBxRbZTxcA",0,0,,0,1,1,"","notishuk"
noemi_mf,"Seminario de actualización de las reglas del fútbol 🤓⚽️❤ https://t.co/P8ERBILtHK",0,0,,0,0,0,"",""
GustConchas,"Te esperamos en la Feria Gastronómica Internacional #Raíces2019. Del 24 al 28 de Julio 🕗  10h00 a 22h00 en el  Centro de Convenciones de… https://t.co/FvaF6zi6tk",0,0,,0,1,1,"","Raíces2019"
Socioempleo_ec,"ASISTENTE DE ACOMPAÑAMIENTO FAMILIAR DISTRITAL; $751 - $1000; COTOPAXI/LA MANA; https://t.co/UnSbmzT1Yr https://t.co/sJTXwd95e2",0,0,,0,0,1,"",""
daviru3,"@piedad3103 Me tiene bloqueado. Q pasara?",0,0,piedad3103,1,0,0,"piedad3103",""
ECUADORolimpico,"AVAL Torneo Internacional "Gran Premio de España" de #Lucha Madrid - España / 2 al 14 de julio #TeamEcuador🇪🇨: Andrés Montaño @Andres_lucha https://t.co/UPZw9Xyj3s",0,0,,0,2,1,"","Lucha;TeamEcuador"
bmwjj_ec,"@mildredpao84",0,0,mildredpao84,1,0,0,"mildredpao84",""
BetoYr,"@vanebuchelli @PENI_PLANE https://t.co/QCJNVSOlNj",0,0,vanebuchelli,2,0,0,"vanebuchelli;PENI_PLANE",""
hecola6,"@eabusad Aquí tienes algunos carroñeros que quieren seguir comiendo de sus cenizas ...hace rato que ya fueron son los mas detestados y apestosos en la política nacional https://t.co/aOwpE282tA",0,0,eabusad,1,0,1,"eabusad",""
jccedenog,"Bien hablado. Slds.",0,0,,0,0,0,"",""
christianbanda9,"¿Quieres disfrutar de las cosas simples de la vida? Sé simple.  ¿Quieres que lo superficial te deje de afectar? Deja de ser superficial.",0,0,,0,0,0,"",""
Pub39,"Disfruta tu miércoles con amigos en el único karaoke de aventura plaza #pub39 . Te esperamos!! . . . #urdesa #amigos #miercoles #karaoke #lomejordeaventuraplaza #canta en Guayaquil; Ecuador https://t.co/9yIfnrQfaI",0,0,,0,2,1,"","pub39;urdesa"
PabloCastilloM,"@carlosrojasecu No me digas que la prensa "libre e independiente" como tú por ejemplo; no está al servicio de Moreno; Nebot y Lasso? Tus salvadores democráticos... Sé un poco más ético Carlos... Memoria selectiva.",0,0,carlosrojasecu,1,0,1,"carlosrojasecu",""
Angel_Mariduena,"@manugonzalez76 @Jose_Orellana_G En efecto; sería así si estuviéramos sacando variaciones t/t-1 de series no ajustadas por estacionalidad en este caso son series desestacionalizadas. Por tanto la que es de mayor realce es la que compara el desempeño trimestre a trimestre no la interanual.",0,0,manugonzalez76,2,0,1,"manugonzalez76;Jose_Orellana_G",""
vip_erotica,"https://t.co/CFMQ17KcKr",0,0,,0,0,0,"",""
maemily10,"HP si :(",0,0,,0,0,0,"",""
Socioempleo_ec,"ANALISTA DE SERVICIOS Y ATENCION DISTRITAL; $1001 - $1500; COTOPAXI/LATACUNGA; https://t.co/rb2k9zaxfc https://t.co/9VrBGvrAM1",0,0,,0,0,1,"",""
CARLOSARDITTO,"#BarcelonaSC solicitó capacitación a la Comisión Nacional de Árbitros con respecto a la modificación de las 15 reglas de juego que ya se están aplicando en los partidos desde el mundial de Polonia.",0,0,,0,1,1,"","BarcelonaSC"
JB_Fwme,"Me pasé de verga.",0,0,,0,0,0,"",""
jeffreymundial,"@RadioHuancavilk SI NOSOTROS ESTUVIÉSEMOS JUGANDO OTRO TORNEO ERA DIFICIL QUE SALGAN JUGADORES" LEO RAMOS DT BSC https://t.co/uuJCxGbNpY",0,0,RadioHuancavilk,1,0,0,"RadioHuancavilk",""
vip_erotica,"https://t.co/KYQgEmHtMT",0,0,,0,0,0,"",""
daviru3,"@Pauli8g Es parte de la banda verde flex ........ la misma 💩💩 con diferente mosca. Solo q esta tiene q tapar las cagadas q hizo la sobrina de la Mafer ...........",0,0,Pauli8g,1,0,1,"Pauli8g",""
LydiaSarm,"@sucui2006 @SUAREZALFONSO Pues vaya usted y los agarra a plomom si es tan macho. @SUAREZALFONSO y Sucui  Son Rambos de escritorio; y los Rambos de escritorio no son mas que gallinas cacaraqueando.",0,0,sucui2006,3,0,1,"sucui2006;SUAREZALFONSO;SUAREZALFONSO",""
vip_erotica,"https://t.co/2vLWmbcrRZ",0,0,,0,0,0,"",""
Deuteros1974,"@ambienteeuropeo No me importa lo que digan otras personas; pero a mí sí me preocupa el medio ambiente: yo no quiero morir en un planeta lleno de polución.",0,0,ambienteeuropeo,1,0,1,"ambienteeuropeo",""
vip_erotica,"https://t.co/D36p3oirpx",0,0,,0,0,0,"",""
Ernesto10598785,"@elcomerciocom FMI; BID; el peor con los peores; que nos espera??? otro feriado bancario y millones de ecuatorinos a trabajar fuera del país para pagar los daños hechos por banqueros y empresarios corruptos",0,0,elcomerciocom,1,0,1,"elcomerciocom",""
srapotts_,"Baia baia baia",0,0,,0,0,0,"",""
KizunaKiznaiver,"Pues así es.",0,0,,0,0,0,"",""
PabloCastilloM,"No me digas que la prensa "libre e independiente" como tú por ejemplo; no está al servicio de Moreno; Nebot y Lasso? Tus salvadores democráticos... Sé un poco más ético Carlos... Tienes memoria selectiva @carlosrojasecu .",0,0,,0,0,1,"",""
danicastrom1981,"@freddyazul14 https://t.co/HZKQs4jpHQ",0,0,freddyazul14,1,0,0,"freddyazul14",""
DaniellaMunozA,"Fotitos que no compartí de #barofdaniOntheGo FOr real; me encantó esta experiencia. https://t.co/bjh5Jolqbt",0,0,,0,1,0,"","barofdaniOntheGo"
jccedenog,"💣💣💣 Cc @ginitomolineros",0,0,,1,0,0,"ginitomolineros",""
LydiaSarm,"@fercasa14 Por mi que no vuelvan.",0,0,fercasa14,1,0,0,"fercasa14",""
melocotonkol,"@Viviana_MR_ Pobre de mi ex 🤭😜",0,0,Viviana_MR_,1,0,0,"Viviana_MR_",""
estebanpuente28,"Messi en el #FCBarcelona juega con un pensamiento diferente en la selección de #Argentina el pensamiento es “forzado” (AFA) ; Prensa etc ...",0,0,,0,2,0,"","FCBarcelona;Argentina"
reservas_vip,"Este semana #noche de #tributos en @veaeso 🍃🎙🎉 y la próxima semana no te pierdas #SoloParaEllas una noche inolvidable . Reservas #0994813528🔥 . PROMO #VEAESO 🍗 16 ALITAS + 2 coronas x $23 4 micheladas x $14 🍻 🍻 6 cervezas nacionales x $15 . #cerveza #guayaquil #musica #🇪🇨 https://t.co/MsMMEc7Mh5",0,0,,1,3,1,"VEAESO","noche;tributos;SoloParaEllas"
PabloCastilloM,"@doktorzero Nirvana",0,0,doktorzero,1,0,0,"doktorzero",""
GaetanoLoHace,"@CereOficial @albanelyrengel @LORENT_SALEH Son las personas más intolerantes que existen. No se les puede cuestionar porque los ofendes. Las necesidades de quien tiene -todos sus gastos subsidiados- no son las mismas de quienes sobreviven el día a día en Venezuela. Y eso sin saber si son socios y cómplices de la tiranía.",0,0,CereOficial,3,0,1,"CereOficial;albanelyrengel;LORENT_SALEH",""
SUAREZALFONSO,"Qué aporte cultural ha hecho? Es una escoria de la sociedad.",0,0,,0,0,0,"",""
fernandorozcom,"@christiandeath5 @LoloMino @EcuavisaInforma @EstefanieA https://t.co/lgq1SywEbF",0,0,christiandeath5,4,0,0,"christiandeath5;LoloMino;EcuavisaInforma;EstefanieA",""
Ernesto10598785,"@elcomerciocom Que se tatúen en la frente",0,0,elcomerciocom,1,0,0,"elcomerciocom",""
giovannialv,"@0__FRANCISCO_0 @CynthiaViteri6 @RadioMorena640 Nadie dice que aborte; donde se dice; no interpretes las cosas a tu manera; solo que el reglamento dice que debe renunciar a su reinado.",0,0,0__FRANCISCO_0,3,0,1,"0__FRANCISCO_0;CynthiaViteri6;RadioMorena640",""
descubretusalud,"👩👨¿Por qué los jóvenes sufren cada vez más de enfermedades cardiovasculares? 📈 https://t.co/RqfJVTdaiB https://t.co/34OLkspvMi",0,0,,0,0,1,"",""
LydiaSarm,"@Mariachupete @SUAREZALFONSO Mostrara el culo y todo lo demas pero rata no es. Esta entre las ratas pero no es rata. Me alegro que vuelva.",0,0,Mariachupete,2,0,0,"Mariachupete;SUAREZALFONSO",""
IneesGavilanes,"God knows cuánto me fastidia la gente chillona y ruidosa; pónganse un bozal plis",0,0,,0,0,0,"",""
TatianaRodrigz,"@Cuchitohacker33 @Shirley88085284 @jenniehidalgo 😍😍😍",0,0,Cuchitohacker33,3,0,0,"Cuchitohacker33;Shirley88085284;jenniehidalgo",""
